id,name,einwohner,18_and_older
7020201,Bayerischer Platz,10669,9314
4051652,Nikolsburger Platz,9867,8561
4051550,Leon-Jessel-Platz,5665,4898
4051653,Prager Platz,7027,6201
7060604,Marienfelde Süd,14480,12028
7060603,Marienfelde Nordost,2842,2317
6020407,Thermometersiedlung,4618,3856
6020408,Lichterfelde Süd,6981,5882
6030607,Goerzwerke,3133,2678
6020411,Schütte-Lanz-Straße,8624,7161
7060602,Kirchstraße,4774,4015
6030608,Schweizer Viertel,13729,11088
7060601,Marienfelder Allee Nordwest,10305,8289
6020306,Lankwitz Süd,6353,5440
6020410,Oberhofer Platz,7010,5962
6020409,Königsberger Straße,8352,7098
6020305,Gemeindepark Lankwitz,11447,9671
7050502,Fritz-Werner-Straße,8158,7055
6020304,Kaiser-Wilhelm-Straße,7279,6208
6030606,Hindenburgdamm,5608,4646
6030610,Lichterfelde West,8485,6997
6020303,Lankwitz Kirche,7386,6346
6030609,Augustaplatz,12100,10182
6020302,Komponistenviertel Lankwitz,6079,5187
6020301,Alt-Lankwitz,4957,4252
7050501,Rathausstraße,17124,14536
6030605,Botanischer Garten,7107,6128
6040809,Thielallee,4957,4096
6010205,Südende,9814,8353
6010206,Stadtpark,7733,6639
7040404,Marienhöhe,5106,4455
6010207,Mittelstraße,7964,6838
6010204,Munsterdamm,6885,5871
6010208,Bergstraße,6879,5943
6010102,Schloßstraße,8889,7596
1022106,Elberfelder Straße,11283,9780
1022206,Lüneburger Straße,3061,2672
4020205,Siedlung Ruhleben,1290,1096
1011301,Charitéviertel,6807,5871
4020310,Park Ruhwald,810,659
4030415,Schloßgarten,3219,2903
1022204,Thomasiusstraße,5973,5152
4030519,Kaiserin-Augusta-Allee,5951,5172
1022101,Huttenkiez,3478,3007
4030518,Tegeler Weg,9612,8537
1022205,Zillesiedlung,3286,2558
1022105,Zwinglistraße,5209,4411
1022102,Beusselkiez,6814,5901
1022202,Heidestraße,4183,3516
1022201,Stephankiez,10846,9276
1022203,Lübecker Straße,7017,5743
1022104,Emdener Straße,18606,16097
5030833,Motardstraße,490,418
4010101,Jungfernheide,10801,9229
1022103,Westhafen,269,175
4010103,Paul-Hertz-Siedlung,7967,6406
1033203,Humboldthain Nordwest,14529,11892
4010102,Plötzensee,826,713
5030832,Rohrdamm,12252,10091
1044202,Sparrplatz,16819,14542
1044101,Rehberge,20582,17618
5030731,Gartenfelder Straße,11595,9745
1044103,Westliche Müllerstraße,8721,7543
1044201,Reinickendorfer Straße,23734,19392
1044203,Leopoldplatz,15731,13350
1044102,Schillerpark,16473,14121
12214125,Waldidyll/Flughafensee,7784,6601
12103117,Letteplatz,10980,8997
12214528,Tegeler Forst,266,230
12103219,Schäfersee,8852,7507
12214424,Scharnweberstraße,10714,8864
12103218,Teichstraße,14087,11903
12214422,Klixstraße,8303,6578
12103116,Hausotterplatz,10086,8231
12103115,Breitkopfbecken,7825,6720
12214421,Reinickes Hof,2753,2330
12103220,Humboldtstraße,4632,4051
12214423,Mellerbogen,5710,4930
12214126,Tegel Süd,8109,6741
12304313,Borsigwalde,6709,5841
12301203,Wittenau Süd,15054,13090
12214527,Alt-Tegel,10975,9684
3040512,Wilhelmsruh,10343,8617
12301204,Wittenau Nord,6455,5461
12304314,Ziekowstraße/Freie Scholle,9667,8465
12302110,Dannenwalder Weg,10655,7902
3040508,Rosenthal,4571,3689
12302107,Schorfheidestraße,3083,2619
12224230,Heiligensee,18104,15101
12302108,Märkisches Zentrum,14867,11547
12302211,Lübarser Straße,3295,2917
12302109,Treuenbrietzener Straße,11647,8786
12301205,Waidmannslust,5113,4298
12231101,Hermsdorf,16588,13982
12302212,Rollbergesiedlung,5935,4416
12301206,Lübars,5172,4270
12231102,Frohnau,16787,13875
5020521,Döberitzer Weg,3270,2627
5020420,Werkstraße,1087,879
5020415,Isenburger Weg,3824,3183
5010205,An der Tränke,2293,1991
5020418,Spandauer Straße,4329,3494
5010101,Hakenfelde Nord,10613,8804
5020522,Pillnitzer Weg,7630,5898
5020419,Magistratsweg,7237,5952
5020416,Am Heideberg,1679,1493
5010209,An der Kappe,6080,5201
5010206,Gütersloher Weg,10681,8629
5010204,Griesingerstraße,3612,2799
5020417,Staakener Straße,5814,4984
5020523,Maulbeerallee,12617,9269
5010207,Darbystraße,11592,9286
5010103,Amorbacher Weg,7609,6575
5020626,Adamstraße,18217,15506
5020628,Graetschelsteig,2001,1699
5020625,Borkumer Straße,7582,6503
5010314,Carl-Schurz-Straße,12364,10442
5010208,Germersheimer Platz,7669,6485
5010313,Ackerstraße,6802,5620
5010310,Eckschanze,3973,3337
5010102,Goltzstraße,8443,7107
5020627,Tiefwerder,4395,3529
5010311,Eiswerder,5622,4580
5010312,Kurstraße,7363,5888
5010339,Freiheit,944,632
5030730,Zitadellenweg,4136,3117
12224229,Konradshöhe/Tegelort,6012,5055
4020204,Olympiagelände,185,139
6040701,Wannsee,10264,8476
5040938,Kafkastraße,3684,3064
5040936,Jägerallee,10188,7984
5040937,Kladower Damm,2219,1891
5040935,Groß-Glienicker Weg,446,386
5020524,Weinmeisterhornweg,6270,5480
6040703,Nikolassee,10949,9260
5040934,Alt-Gatow,3410,2817
6040702,Düppel,5487,4481
5020629,Börnicker Straße,4426,3961
4061757,Forst Grunewald,65,65
6040804,Krumme Lanke,7484,6315
4020208,Kranzallee,2977,2440
4020206,Angerburger Allee,2908,2600
6030501,Berlepschstraße,5715,4823
6040805,Fischerhüttenstraße,5293,4450
4020207,Flatowallee,2536,2208
6030503,Zehlendorf Mitte,11725,9961
6040806,Fischtal,7318,6140
6030502,Zehlendorf Süd,5591,4775
6030504,Teltower Damm,11119,9324
6040808,Hüttenweg,4778,3667
4020311,Reichsstraße,14963,13079
4020209,Eichkamp,3195,2749
6040807,Zehlendorf Eiche,5984,5036
4041135,Hundekehle,2788,2399
4041133,Güterbahnhof Grunewald,112,106
4020312,Branitzer Platz,5596,4809
4041136,Hagenplatz,3159,2656
4020314,Messegelände,7,7
4041134,Bismarckallee,5353,4540
