id,name,status
4030622,Richard-Wagner-Straße,
4030621,Spreestadt,
4030620,Alt-Lietzow,
6040810,Dahlem,
7040403,Manteuffelstraße,
6010101,Fichtenberg,
7040402,Lindenhofsiedlung,
7030303,Grazer Platz,
6010209,Feuerbachstraße,
6010210,Bismarckstraße,
6010103,Markelstraße,
7030301,Friedenau,
7030302,Ceciliengärten,
4041344,Rüdesheimer Platz,
4041343,Binger Straße,
4041241,Breite Straße,
4041342,Schlangenbader Straße,
4041240,Messelpark,
7020204,Schöneberger Insel,
4041239,Stadion Wilmersdorf,
4041238,Kissinger Straße,
4051655,Babelsberger Straße,
4051656,Hildegardstraße,
4051551,Brabanter Platz,
4041137,Flinsberger Platz,
4051654,Wilhelmsaue,
4051549,Rathaus Wilmersdorf,
4051652,Nikolsburger Platz,
4051550,Leon-Jessel-Platz,
4051653,Prager Platz,
7060604,Marienfelde Süd,
7060603,Marienfelde Nordost,
6020407,Thermometersiedlung,
6020408,Lichterfelde Süd,
6030607,Goerzwerke,
6020411,Schütte-Lanz-Straße,
7060602,Kirchstraße,
6030608,Schweizer Viertel,
7060601,Marienfelder Allee Nordwest,
6020306,Lankwitz Süd,
6020410,Oberhofer Platz,
6020409,Königsberger Straße,
6020305,Gemeindepark Lankwitz,
7050502,Fritz-Werner-Straße,
6020304,Kaiser-Wilhelm-Straße,
6030606,Hindenburgdamm,
6030610,Lichterfelde West,
6020303,Lankwitz Kirche,
6030609,Augustaplatz,
6020302,Komponistenviertel Lankwitz,
6020301,Alt-Lankwitz,
7050501,Rathausstraße,
6030605,Botanischer Garten,
6040809,Thielallee,
6010205,Südende,
6010206,Stadtpark,
7040404,Marienhöhe,
6010207,Mittelstraße,
6010204,Munsterdamm,
6010208,Bergstraße,
6010102,Schloßstraße,
4020205,Siedlung Ruhleben,
4020310,Park Ruhwald,
4030415,Schloßgarten,
4030519,Kaiserin-Augusta-Allee,
1022101,Huttenkiez,
4030518,Tegeler Weg,
1022202,Heidestraße,2
5030833,Motardstraße,
4010101,Jungfernheide,
4010103,Paul-Hertz-Siedlung,
1033203,Humboldthain Nordwest,
4010102,Plötzensee,
5030832,Rohrdamm,
1044202,Sparrplatz,
1044101,Rehberge,
5030731,Gartenfelder Straße,
1044103,Westliche Müllerstraße,
1044201,Reinickendorfer Straße,
1044203,Leopoldplatz,
1044102,Schillerpark,
12214125,Waldidyll/Flughafensee,
12103117,Letteplatz,
12214528,Tegeler Forst,
12103219,Schäfersee,
12214424,Scharnweberstraße,
12103218,Teichstraße,
12214422,Klixstraße,
12103116,Hausotterplatz,
12103115,Breitkopfbecken,
12214421,Reinickes Hof,
12103220,Humboldtstraße,
12214423,Mellerbogen,
12214126,Tegel Süd,
12304313,Borsigwalde,
12301203,Wittenau Süd,
12214527,Alt-Tegel,
3040512,Wilhelmsruh,
12301204,Wittenau Nord,
12304314,Ziekowstraße/Freie Scholle,
12302110,Dannenwalder Weg,
3040508,Rosenthal,
12302107,Schorfheidestraße,
12224230,Heiligensee,
12302108,Märkisches Zentrum,
12302211,Lübarser Straße,
12302109,Treuenbrietzener Straße,
12301205,Waidmannslust,
12231101,Hermsdorf,
12302212,Rollbergesiedlung,
12301206,Lübars,
12231102,Frohnau,
5020521,Döberitzer Weg,
5020420,Werkstraße,
5020415,Isenburger Weg,
5010205,An der Tränke,
5020418,Spandauer Straße,
5010101,Hakenfelde Nord,
5020522,Pillnitzer Weg,
5020419,Magistratsweg,
5020416,Am Heideberg,
5010209,An der Kappe,
5010206,Gütersloher Weg,
5010204,Griesingerstraße,
5020417,Staakener Straße,
5020523,Maulbeerallee,
5010207,Darbystraße,
5010103,Amorbacher Weg,
5020626,Adamstraße,
5020628,Graetschelsteig,
