id,name,size
6030606,Hindenburgdamm,72878
6030610,Lichterfelde West,0
6020303,Lankwitz Kirche,35696
6030609,Augustaplatz,14271
6020302,Komponistenviertel Lankwitz,4
6020301,Alt-Lankwitz,55855
7050501,Rathausstraße,33248
6030605,Botanischer Garten,441587
6040809,Thielallee,111308
6010205,Südende,21976
6010206,Stadtpark,191670
7040404,Marienhöhe,56784
6010207,Mittelstraße,59465
6010204,Munsterdamm,54481
6010208,Bergstraße,5118
6010102,Schloßstraße,3506
1022106,Elberfelder Straße,29081
1022206,Lüneburger Straße,101147
4020205,Siedlung Ruhleben,125878
1011301,Charitéviertel,78639
4020310,Park Ruhwald,174244
4030415,Schloßgarten,548451
1022204,Thomasiusstraße,54438
4030519,Kaiserin-Augusta-Allee,60210
1022101,Huttenkiez,14561
4030518,Tegeler Weg,15366
1022205,Zillesiedlung,3235
1022105,Zwinglistraße,10762
1022102,Beusselkiez,0
1022202,Heidestraße,39258
1022201,Stephankiez,107825
1022203,Lübecker Straße,2
1022104,Emdener Straße,16205
5030833,Motardstraße,10791
4010101,Jungfernheide,1195412
1022103,Westhafen,25218
4010103,Paul-Hertz-Siedlung,20941
1033203,Humboldthain Nordwest,115522
4010102,Plötzensee,41636
5030832,Rohrdamm,203351
1044202,Sparrplatz,16860
1044101,Rehberge,1136195
5030731,Gartenfelder Straße,8475
1044103,Westliche Müllerstraße,13803
1044201,Reinickendorfer Straße,81110
1044203,Leopoldplatz,26304
1044102,Schillerpark,312295
12214125,Waldidyll/Flughafensee,358601
12103117,Letteplatz,5108
12214528,Tegeler Forst,40922
12103219,Schäfersee,114988
12214424,Scharnweberstraße,18100
12103218,Teichstraße,91752
12214422,Klixstraße,9380
12103116,Hausotterplatz,4630
12103115,Breitkopfbecken,60816
12214421,Reinickes Hof,8444
12103220,Humboldtstraße,121227
12214423,Mellerbogen,12013
12214126,Tegel Süd,55420
12304313,Borsigwalde,22689
12301203,Wittenau Süd,70432
12214527,Alt-Tegel,194237
3040512,Wilhelmsruh,17054
12301204,Wittenau Nord,315911
