id,name,size
6020306,Lankwitz Süd,243603
6020410,Oberhofer Platz,265942
6020409,Königsberger Straße,292213
6020305,Gemeindepark Lankwitz,203804
7050502,Fritz-Werner-Straße,256303
6020304,Kaiser-Wilhelm-Straße,115615
6030606,Hindenburgdamm,70046
6030610,Lichterfelde West,315780
6020303,Lankwitz Kirche,161182
6030609,Augustaplatz,297293
6020302,Komponistenviertel Lankwitz,170284
6020301,Alt-Lankwitz,134548
7050501,Rathausstraße,271661
6030605,Botanischer Garten,219756
6040809,Thielallee,333306
6010205,Südende,182594
6010206,Stadtpark,123320
7040404,Marienhöhe,129827
6010207,Mittelstraße,151981
6010204,Munsterdamm,112960
6010208,Bergstraße,151276
6010102,Schloßstraße,121545
1022106,Elberfelder Straße,172584
1022206,Lüneburger Straße,211935
4020205,Siedlung Ruhleben,63218
1011301,Charitéviertel,262386
4020310,Park Ruhwald,209383
4030415,Schloßgarten,84716
1022204,Thomasiusstraße,95942
4030519,Kaiserin-Augusta-Allee,205827
1022101,Huttenkiez,123644
4030518,Tegeler Weg,163728
1022205,Zillesiedlung,26663
1022105,Zwinglistraße,22897
1022102,Beusselkiez,73023
1022202,Heidestraße,104568
1022201,Stephankiez,186511
1022203,Lübecker Straße,66120
1022104,Emdener Straße,241120
5030833,Motardstraße,210300
4010101,Jungfernheide,474862
1022103,Westhafen,120701
4010103,Paul-Hertz-Siedlung,122502
1033203,Humboldthain Nordwest,315268
4010102,Plötzensee,230751
5030832,Rohrdamm,229982
1044202,Sparrplatz,228967
1044101,Rehberge,703447
5030731,Gartenfelder Straße,227790
1044103,Westliche Müllerstraße,187805
1044201,Reinickendorfer Straße,270332
1044203,Leopoldplatz,230637
1044102,Schillerpark,283995
12214125,Waldidyll/Flughafensee,620897
12103117,Letteplatz,193321
12214528,Tegeler Forst,204194
12103219,Schäfersee,185245
12214424,Scharnweberstraße,265847
12103218,Teichstraße,413999
12214422,Klixstraße,208704
12103116,Hausotterplatz,128491
12103115,Breitkopfbecken,151776
12214421,Reinickes Hof,77383
12103220,Humboldtstraße,101018
12214423,Mellerbogen,76287
12214126,Tegel Süd,92971
12304313,Borsigwalde,259579
12301203,Wittenau Süd,427464
12214527,Alt-Tegel,323312
3040512,Wilhelmsruh,355204
12301204,Wittenau Nord,228990
12304314,Ziekowstraße/Freie Scholle,331123
12302110,Dannenwalder Weg,78149
3040508,Rosenthal,165078
12302107,Schorfheidestraße,101832
12224230,Heiligensee,883690
12302108,Märkisches Zentrum,75049
12302211,Lübarser Straße,134742
12302109,Treuenbrietzener Straße,67007
12301205,Waidmannslust,199679
12231101,Hermsdorf,775525
12302212,Rollbergesiedlung,69135
12301206,Lübars,232269
12231102,Frohnau,965566
5020521,Döberitzer Weg,177631
5020420,Werkstraße,100416
5020415,Isenburger Weg,131833
5010205,An der Tränke,48234
5020418,Spandauer Straße,53540
5010101,Hakenfelde Nord,471312
5020522,Pillnitzer Weg,139000
5020419,Magistratsweg,96632
5020416,Am Heideberg,101853
5010209,An der Kappe,226269
5010206,Gütersloher Weg,198759
5010204,Griesingerstraße,84711
5020417,Staakener Straße,301344
5020523,Maulbeerallee,145681
5010207,Darbystraße,107969
5010103,Amorbacher Weg,306119
5020626,Adamstraße,322572
5020628,Graetschelsteig,105456
5020625,Borkumer Straße,183182
5010314,Carl-Schurz-Straße,386772
5010208,Germersheimer Platz,112890
5010313,Ackerstraße,157530
5010310,Eckschanze,84822
5010102,Goltzstraße,36953
5020627,Tiefwerder,152819
5010311,Eiswerder,97680
5010312,Kurstraße,110531
5010339,Freiheit,166719
5030730,Zitadellenweg,317012
12224229,Konradshöhe/Tegelort,284227
4020204,Olympiagelände,167782
6040701,Wannsee,766893
5040938,Kafkastraße,115226
5040936,Jägerallee,612094
5040937,Kladower Damm,192338
5040935,Groß-Glienicker Weg,122466
5020524,Weinmeisterhornweg,271274
6040703,Nikolassee,1271459
5040934,Alt-Gatow,219733
6040702,Düppel,301990
5020629,Börnicker Straße,164143
4061757,Forst Grunewald,336819
6040804,Krumme Lanke,450101
4020208,Kranzallee,290368
4020206,Angerburger Allee,47304
6030501,Berlepschstraße,277473
6040805,Fischerhüttenstraße,270985
4020207,Flatowallee,104821
6030503,Zehlendorf Mitte,409668
6040806,Fischtal,203841
6030502,Zehlendorf Süd,140622
6030504,Teltower Damm,471722
6040808,Hüttenweg,161419
4020311,Reichsstraße,458055
4020209,Eichkamp,204440
6040807,Zehlendorf Eiche,191887
4041135,Hundekehle,184878
4041133,Güterbahnhof Grunewald,22110
4020312,Branitzer Platz,143718
4041136,Hagenplatz,181398
4020314,Messegelände,329427
4041134,Bismarckallee,270477
