Schlüssel,Name,Flächengröße in m²,Bezirk,PP Durchschnitt,PP Durchschnitt min Konfidenz,PP Durchschnitt max Konfidenz,PP Straßenraum Durchschnitt,PP Straßenraum min Konfidenz,PP Straßenraum max Konfidenz,PP nicht Straßenraum Durchschnitt,PP nicht Straßenraum min Konfidenz,PP nicht Straßenraum max Konfidenz,PP in m²,PP Fläche in %,PP Fläche pro Einwohner in m²,PP mit Beschränkungen,Einwohner,Einwohner Erwachsen,Kfz,Pkw,PP pro Kfz,PP Fläche pro Kfz in m²,Grünanlagenflächen in m²,Grünanlagenflächen in %,Grünanlagenflächen pro Einwohner in m²,Spielplatzflächen in m²,Spielplatzflächen in %,Straßenverkehrsfläche in m²,Straßenverkehrsfläche in %,Anteil der PP Fläche im Straßenraum an Straßenverkehrsfläche in %
8010115,Hasenheide,1422637,Neukölln,175,0,350,175,0,350,0,0,0,2187.5,0.2,2.3321,5,938,792,292,222,0.6,7.5,468567,32.9,499.5,20647,1.5,31632,2.2,6.9
2050601,Hausburgviertel,308959,Friedrichshain-Kreuzberg,1786,1786,1786,1786,1786,1786,0,0,0,22325,7.2,2.4335,271,9174,7934,1920,1538,0.9,11.6,833,0.3,0.1,2380,0.8,128196,41.5,17.4
1022202,Heidestraße,683524,Mitte,177,177,177,177,177,177,0,0,0,2212.5,0.3,0.5289,2,4183,3516,1056,985,0.2,2.1,39258,5.7,9.4,6761,1.0,104568,15.3,2.1
1011306,Heine-Viertel Ost,716799,Mitte,1650,1605,1694,1650,1605,1694,0,0,0,20625,2.9,1.9274,18,10701,9392,3458,2967,0.5,6.0,55943,7.8,5.2,2721,0.4,160913,22.4,12.8
1011305,Heine-Viertel West,643215,Mitte,1328,1324,1332,1308,1304,1312,20,20,20,16600,2.6,1.8475,316,8985,7919,2569,2304,0.5,6.5,74891,11.6,8.3,9258,1.4,145884,22.7,11.2
3061332,Helmholtzplatz,712589,Pankow,3177,3132,3221,3177,3132,3221,0,0,0,39712.5,5.6,1.7510,145,22680,18486,4842,3952,0.7,8.2,17593,2.5,0.8,14945,2.1,194970,27.4,20.4
8010405,Hertzbergplatz,398581,Neukölln,1532,1513,1551,1532,1513,1551,0,0,0,19150,4.8,2.1531,26,8894,7656,1845,1535,0.8,10.4,20418,5.1,2.3,18210,4.6,90765,22.8,21.1
4051656,Hildegardstraße,323197,Charlottenburg-Wilmersdorf,1097,1013,1180,1097,1013,1180,0,0,0,13712.5,4.2,1.7834,9,7689,6557,2994,2615,0.4,4.6,65,0.0,0.0,0,0.0,96986,30.0,14.1
4030929,Hindemithplatz,299155,Charlottenburg-Wilmersdorf,1368,1346,1390,1368,1346,1390,0,0,0,17100,5.7,2.8195,52,6065,5363,2281,2024,0.6,7.5,0,0.0,0.0,3653,1.2,102076,34.1,16.8
1033203,Humboldthain Nordwest,1437292,Mitte,1418,1360,1475,1418,1360,1475,0,0,0,17725,1.2,1.2200,130,14529,11892,3281,2811,0.4,5.4,115522,8.0,8.0,15809,1.1,315268,21.9,5.6
1033202,Humboldthain Süd,1102924,Mitte,2519,2479,2559,2472,2432,2512,47,47,47,31487.5,2.9,3.0271,207,10402,8518,2583,2219,1.0,12.2,286009,25.9,27.5,12139,1.1,225431,20.4,13.7
1022101,Huttenkiez,804357,Mitte,1559,1536,1582,1288,1265,1311,271,271,271,19487.5,2.4,5.6031,215,3478,3007,3373,2567,0.5,5.8,14561,1.8,4.2,9890,1.2,123644,15.4,13.0
1011401,Invalidenstraße,1150359,Mitte,2699,2673,2724,2699,2673,2724,0,0,0,33737.5,2.9,1.8966,167,17788,14737,4812,3793,0.6,7.0,58906,5.1,3.3,27420,2.4,178672,15.5,18.9
7020203,Kaiser-Wilhelm-Platz,914477,Tempelhof-Schöneberg,3226,3125,3327,2895,2794,2996,331,331,331,40325,4.4,2.2410,744,17994,15346,4708,3864,0.7,8.6,27918,3.1,1.6,28580,3.1,241203,26.4,15.0
4030519,Kaiserin-Augusta-Allee,1373204,Charlottenburg-Wilmersdorf,2029,1956,2102,2003,1930,2076,26,26,26,25362.5,1.8,4.2619,35,5951,5172,2721,1860,0.7,9.3,60210,4.4,10.1,5252,0.4,205827,15.0,12.2
4030827,Karl-August-Platz,584480,Charlottenburg-Wilmersdorf,1719,1694,1744,1719,1694,1744,0,0,0,21487.5,3.7,1.7495,149,12282,10769,3705,3186,0.5,5.8,12786,2.2,1.0,6012,1.0,160648,27.5,13.4
1011304,Karl-Marx-Allee,806545,Mitte,3669,3425,3913,1944,1700,2188,1725,1725,1725,45862.5,5.7,5.2456,3617,8743,7471,4311,2332,0.9,10.6,38533,4.8,4.4,27018,3.3,263299,32.6,9.2
4030416,Klausenerplatz,477586,Charlottenburg-Wilmersdorf,1251,1251,1251,1251,1251,1251,0,0,0,15637.5,3.3,1.4894,48,10499,8793,3089,2576,0.4,5.1,13587,2.8,1.3,5062,1.1,95775,20.1,16.3
3071537,Kollwitzplatz,819665,Pankow,3692,3659,3724,3120,3087,3152,572,572,572,46150,5.6,2.8846,275,15999,13000,4527,3834,0.8,10.2,21552,2.6,1.3,15187,1.9,242194,29.5,16.1
8010213,Körnerpark,552857,Neukölln,2056,1969,2142,2056,1969,2142,0,0,0,25700,4.6,2.0983,55,12248,10353,2405,1963,0.9,10.7,52633,9.5,4.3,9470,1.7,125943,22.8,20.4
1011104,Körnerstraße,337927,Mitte,697,683,711,697,683,711,0,0,0,8712.5,2.6,1.9148,697,4550,3793,1434,1218,0.5,6.1,19448,5.8,4.3,7799,2.3,99888,29.6,8.7
